Antecedent,Consequent,Support,Confidence,Lift,Count
Fundamentals of Philosophy 6,The Art of Philosophy 6,0.001,0.2,66.8667,1
Guide to Python 10,Handbook of Java 4,0.001,0.2,66.8667,1
Handbook of Economics 3,Guide to Python 6,0.001,0.2,66.8667,1
Guide to Art 10,History of Calculus 1,0.001,0.2,66.8667,1
Guide to Economics 1,Mastering Philosophy 5,0.001,0.2,66.8667,1
Guide to Python 7,Guide to History 8,0.001,0.2,66.8667,1
Introduction to Philosophy 1,Fundamentals of Economics 9,0.001,0.2,66.8667,1
Introduction to History 9,Introduction to Chemistry 1,0.001,0.2,66.8667,1
Fundamentals of Physics 6,Mastering Physics 5,0.001,0.2,66.8667,1
Fundamentals of Physics 6,The Art of Physics 2,0.001,0.2,66.8667,1
The Art of Python 3,The Art of Economics 7,0.001,0.2,66.8667,1
Handbook of Art 5,Handbook of Python 7,0.001,0.2,66.8667,1
Handbook of Music 2,Guide to Music 5,0.001,0.2,66.8667,1
History of Chemistry 5,Guide to Music 5,0.001,0.2,66.8667,1
Guide to Python 7,Introduction to Music 9,0.001,0.2,66.8667,1
Guide to Art 10,Advanced Art 6,0.001,0.2,66.8667,1
Guide to Machine Learning 5,The Art of Java 7,0.001,0.2,66.8667,1
Introduction to History 9,Guide to Calculus 10,0.001,0.2,66.8667,1
Fundamentals of Music 1,The Art of Biology 8,0.001,0.2,66.8667,1
Advanced Music 1,Advanced Python 4,0.001,0.2,66.8667,1
Advanced Music 1,Mastering Machine Learning 2,0.001,0.2,66.8667,1
Guide to Music 1,Mastering Economics 10,0.001,0.5,62.6875,1
Guide to Calculus 2,Handbook of Machine Learning 5,0.001,0.5,62.6875,1
Mastering Calculus 7,Fundamentals of Physics 9,0.001,0.5,62.6875,1
History of Philosophy 3,Mastering Python 6,0.001,0.5,62.6875,1
Handbook of Biology 9,The Art of History 9,0.001,0.5,62.6875,1
Guide to Calculus 1,Fundamentals of Physics 9,0.001,0.5,62.6875,1
The Art of Physics 10,Mastering Python 6,0.001,0.5,62.6875,1
History of AI 5,The Art of History 10,0.001,0.5,62.6875,1
Guide to Music 1,Mastering Python 6,0.001,0.5,62.6875,1
Handbook of History 8,Mastering Economics 10,0.001,0.5,62.6875,1
Fundamentals of AI 7,The Art of History 9,0.001,0.5,62.6875,1
Introduction to Music 2,The Art of Physics 7,0.001,0.5,62.6875,1
Handbook of Java 7,History of Calculus 8,0.001,0.5,62.6875,1
History of Machine Learning 2,The Art of Economics 9,0.001,0.5,62.6875,1
Mastering AI 10,History of Physics 6,0.001,0.5,62.6875,1
History of History 4,The Art of Physics 7,0.001,0.5,62.6875,1
Introduction to Calculus 3,Handbook of Machine Learning 5,0.001,0.5,62.6875,1
Introduction to Philosophy 3,Guide to Art 1,0.001,0.5,62.6875,1
Handbook of Music 3,History of Calculus 8,0.001,0.5,62.6875,1
Guide to Biology 8,The Art of Economics 9,0.001,0.5,62.6875,1
Handbook of History 3,Mastering Python 6,0.001,0.5,62.6875,1
Introduction to Java 9,History of Physics 6,0.001,0.5,62.6875,1
Handbook of Python 4,The Art of Art 2,0.001,0.25,62.6875,1
The Art of Art 2,Handbook of Python 4,0.001,0.25,62.6875,1
History of Java 1,History of Machine Learning 6,0.001,0.25,62.6875,1
History of Machine Learning 6,History of Java 1,0.001,0.25,62.6875,1
The Art of Art 2,The Art of Economics 2,0.001,0.25,62.6875,1
The Art of Economics 2,The Art of Art 2,0.001,0.25,62.6875,1
Mastering AI 9,The Art of Biology 7,0.001,0.25,62.6875,1
The Art of Biology 7,Mastering AI 9,0.001,0.25,62.6875,1
History of Calculus 3,Introduction to Python 6,0.001,0.25,62.6875,1
Introduction to Python 6,History of Calculus 3,0.001,0.25,62.6875,1
Advanced History 7,Guide to Calculus 6,0.001,0.25,62.6875,1
Guide to Calculus 6,Advanced History 7,0.001,0.25,62.6875,1
History of Python 10,The Art of History 8,0.001,0.25,62.6875,1
The Art of History 8,History of Python 10,0.001,0.25,62.6875,1
Fundamentals of Java 10,Handbook of Java 8,0.001,0.25,62.6875,1
Handbook of Java 8,Fundamentals of Java 10,0.001,0.25,62.6875,1
Handbook of Java 2,History of Philosophy 9,0.001,0.25,62.6875,1
History of Philosophy 9,Handbook of Java 2,0.001,0.25,62.6875,1
History of Java 9,The Art of Machine Learning 9,0.001,0.25,62.6875,1
The Art of Machine Learning 9,History of Java 9,0.001,0.25,62.6875,1
Advanced Chemistry 9,Introduction to Biology 6,0.001,0.25,62.6875,1
Introduction to Biology 6,Advanced Chemistry 9,0.001,0.25,62.6875,1
The Art of Music 1,The Art of Philosophy 4,0.001,0.25,62.6875,1
The Art of Philosophy 4,The Art of Music 1,0.001,0.25,62.6875,1
Guide to Python 4,Introduction to AI 8,0.001,0.25,62.6875,1
Introduction to AI 8,Guide to Python 4,0.001,0.25,62.6875,1
Advanced Python 5,History of Economics 6,0.001,0.25,62.6875,1
History of Economics 6,Advanced Python 5,0.001,0.25,62.6875,1
History of Art 3,History of Economics 6,0.001,0.25,62.6875,1
History of Economics 6,History of Art 3,0.001,0.25,62.6875,1
Advanced AI 2,Advanced Machine Learning 8,0.001,0.25,62.6875,1
Advanced Machine Learning 8,Advanced AI 2,0.001,0.25,62.6875,1
Handbook of Python 6,Mastering Art 2,0.001,0.25,62.6875,1
Mastering Art 2,Handbook of Python 6,0.001,0.25,62.6875,1
Advanced History 7,Handbook of Python 2,0.001,0.25,62.6875,1
Handbook of Python 2,Advanced History 7,0.001,0.25,62.6875,1
Advanced Biology 4,Guide to AI 8,0.001,0.25,62.6875,1
Guide to AI 8,Advanced Biology 4,0.001,0.25,62.6875,1
Fundamentals of Calculus 2,History of Biology 6,0.001,0.25,62.6875,1
History of Biology 6,Fundamentals of Calculus 2,0.001,0.25,62.6875,1
Advanced Chemistry 9,History of Philosophy 10,0.001,0.25,62.6875,1
History of Philosophy 10,Advanced Chemistry 9,0.001,0.25,62.6875,1
Advanced Chemistry 8,The Art of Machine Learning 2,0.001,0.25,62.6875,1
The Art of Machine Learning 2,Advanced Chemistry 8,0.001,0.25,62.6875,1
History of Python 9,The Art of Chemistry 1,0.001,0.25,62.6875,1
The Art of Chemistry 1,History of Python 9,0.001,0.25,62.6875,1
Guide to Machine Learning 2,Guide to Music 8,0.001,0.25,62.6875,1
Guide to Music 8,Guide to Machine Learning 2,0.001,0.25,62.6875,1
Advanced Art 2,History of Calculus 5,0.001,0.25,62.6875,1
History of Calculus 5,Advanced Art 2,0.001,0.25,62.6875,1
History of Philosophy 1,The Art of Machine Learning 2,0.001,0.25,62.6875,1
The Art of Machine Learning 2,History of Philosophy 1,0.001,0.25,62.6875,1
History of Economics 6,History of Python 10,0.001,0.25,62.6875,1
History of Python 10,History of Economics 6,0.001,0.25,62.6875,1
Handbook of Java 2,Mastering Python 4,0.001,0.25,62.6875,1
Mastering Python 4,Handbook of Java 2,0.001,0.25,62.6875,1
Handbook of Python 2,History of Biology 8,0.001,0.25,62.6875,1
History of Biology 8,Handbook of Python 2,0.001,0.25,62.6875,1
Handbook of Python 4,History of Machine Learning 6,0.001,0.25,62.6875,1
History of Machine Learning 6,Handbook of Python 4,0.001,0.25,62.6875,1
Fundamentals of Music 4,The Art of History 8,0.001,0.25,62.6875,1
The Art of History 8,Fundamentals of Music 4,0.001,0.25,62.6875,1
Guide to Art 6,Mastering AI 7,0.001,0.25,62.6875,1
Mastering AI 7,Guide to Art 6,0.001,0.25,62.6875,1
History of Economics 1,Introduction to Music 8,0.001,0.25,62.6875,1
Introduction to Music 8,History of Economics 1,0.001,0.25,62.6875,1
Introduction to Economics 3,The Art of Physics 8,0.001,0.25,62.6875,1
The Art of Physics 8,Introduction to Economics 3,0.001,0.25,62.6875,1
Guide to Calculus 6,History of Biology 6,0.001,0.25,62.6875,1
History of Biology 6,Guide to Calculus 6,0.001,0.25,62.6875,1
Fundamentals of Physics 2,History of Java 9,0.001,0.25,62.6875,1
History of Java 9,Fundamentals of Physics 2,0.001,0.25,62.6875,1
Advanced Python 2,Handbook of Calculus 4,0.001,0.25,62.6875,1
Handbook of Calculus 4,Advanced Python 2,0.001,0.25,62.6875,1
Advanced Python 2,Guide to AI 1,0.001,0.25,62.6875,1
Guide to AI 1,Advanced Python 2,0.001,0.25,62.6875,1
Handbook of Philosophy 7,Introduction to Art 2,0.001,0.25,62.6875,1
Introduction to Art 2,Handbook of Philosophy 7,0.001,0.25,62.6875,1
Mastering Physics 1,The Art of Biology 7,0.001,0.25,62.6875,1
The Art of Biology 7,Mastering Physics 1,0.001,0.25,62.6875,1
Mastering Python 4,The Art of Java 6,0.001,0.25,62.6875,1
The Art of Java 6,Mastering Python 4,0.001,0.25,62.6875,1
Mastering Economics 10,Guide to Music 1,0.001,0.125,62.6875,1
Handbook of Machine Learning 5,Guide to Calculus 2,0.001,0.125,62.6875,1
Fundamentals of Physics 9,Mastering Calculus 7,0.001,0.125,62.6875,1
Mastering Python 6,History of Philosophy 3,0.001,0.125,62.6875,1
The Art of History 9,Handbook of Biology 9,0.001,0.125,62.6875,1
Fundamentals of Physics 9,Guide to Calculus 1,0.001,0.125,62.6875,1
Mastering Python 6,The Art of Physics 10,0.001,0.125,62.6875,1
The Art of History 10,History of AI 5,0.001,0.125,62.6875,1
Mastering Python 6,Guide to Music 1,0.001,0.125,62.6875,1
Mastering Economics 10,Handbook of History 8,0.001,0.125,62.6875,1
The Art of History 9,Fundamentals of AI 7,0.001,0.125,62.6875,1
The Art of Physics 7,Introduction to Music 2,0.001,0.125,62.6875,1
History of Calculus 8,Handbook of Java 7,0.001,0.125,62.6875,1
The Art of Economics 9,History of Machine Learning 2,0.001,0.125,62.6875,1
History of Physics 6,Mastering AI 10,0.001,0.125,62.6875,1
The Art of Physics 7,History of History 4,0.001,0.125,62.6875,1
Handbook of Machine Learning 5,Introduction to Calculus 3,0.001,0.125,62.6875,1
Guide to Art 1,Introduction to Philosophy 3,0.001,0.125,62.6875,1
History of Calculus 8,Handbook of Music 3,0.001,0.125,62.6875,1
The Art of Economics 9,Guide to Biology 8,0.001,0.125,62.6875,1
Mastering Python 6,Handbook of History 3,0.001,0.125,62.6875,1
History of Physics 6,Introduction to Java 9,0.001,0.125,62.6875,1
Fundamentals of History 5,Advanced Chemistry 5,0.001,1.0,59.0,1
History of Physics 7,Advanced Physics 2,0.001,1.0,59.0,1
Fundamentals of Machine Learning 6,Advanced Chemistry 5,0.001,1.0,59.0,1
The Art of AI 7,Advanced Chemistry 5,0.001,1.0,59.0,1
Fundamentals of AI 4,Advanced Chemistry 5,0.001,1.0,59.0,1
Advanced Philosophy 7,Introduction to Music 3,0.001,1.0,59.0,1
Fundamentals of Art 4,Advanced Chemistry 5,0.001,1.0,59.0,1
Advanced Chemistry 5,Fundamentals of History 5,0.001,0.0588,59.0,1
Advanced Physics 2,History of Physics 7,0.001,0.0588,59.0,1
Advanced Chemistry 5,Fundamentals of Machine Learning 6,0.001,0.0588,59.0,1
Advanced Chemistry 5,The Art of AI 7,0.001,0.0588,59.0,1
Advanced Chemistry 5,Fundamentals of AI 4,0.001,0.0588,59.0,1
Introduction to Music 3,Advanced Philosophy 7,0.001,0.0588,59.0,1
Advanced Chemistry 5,Fundamentals of Art 4,0.001,0.0588,59.0,1
Guide to Physics 4,Guide to AI 5,0.001,0.5,55.7222,1
Advanced Economics 3,Mastering Physics 3,0.001,0.5,55.7222,1
The Art of Physics 10,The Art of Art 8,0.001,0.5,55.7222,1
Introduction to Java 9,Handbook of Economics 9,0.001,0.5,55.7222,1
The Art of Machine Learning 3,Mastering Philosophy 9,0.001,0.5,55.7222,1
Handbook of AI 6,Advanced Machine Learning 1,0.001,0.5,55.7222,1
Introduction to Calculus 3,Advanced Machine Learning 1,0.001,0.5,55.7222,1
Fundamentals of Biology 2,Mastering Philosophy 9,0.001,0.5,55.7222,1
Fundamentals of Art 7,Advanced AI 1,0.001,0.5,55.7222,1
Introduction to Economics 7,Guide to AI 5,0.001,0.5,55.7222,1
Introduction to Economics 10,Fundamentals of Chemistry 6,0.001,0.5,55.7222,1
Fundamentals of Biology 2,Advanced Machine Learning 1,0.001,0.5,55.7222,1
Fundamentals of Biology 10,Handbook of Economics 9,0.001,0.5,55.7222,1
Guide to Biology 9,History of Physics 1,0.001,0.5,55.7222,1
Introduction to Philosophy 9,Guide to AI 5,0.001,0.5,55.7222,1
Guide to History 9,Fundamentals of AI 5,0.001,0.3333,55.7222,1
Guide to History 9,Guide to Biology 10,0.001,0.3333,55.7222,1
Handbook of Java 1,Fundamentals of AI 5,0.001,0.3333,55.7222,1
Handbook of Java 1,The Art of Philosophy 1,0.001,0.3333,55.7222,1
The Art of Python 8,Guide to AI 6,0.001,0.3333,55.7222,1
Handbook of Calculus 3,Introduction to Chemistry 9,0.001,0.3333,55.7222,1
Guide to History 9,Introduction to Chemistry 9,0.001,0.3333,55.7222,1
Mastering Machine Learning 3,Guide to AI 6,0.001,0.3333,55.7222,1
Introduction to Biology 4,Advanced Python 10,0.001,0.3333,55.7222,1
Fundamentals of Python 10,Introduction to Python 7,0.001,0.3333,55.7222,1
Advanced Art 6,Guide to Calculus 9,0.001,0.3333,55.7222,1
Fundamentals of Music 3,Mastering Music 6,0.001,0.3333,55.7222,1
Introduction to Biology 4,Fundamentals of Chemistry 8,0.001,0.3333,55.7222,1
Introduction to Java 10,Handbook of Chemistry 6,0.001,0.3333,55.7222,1
Guide to Philosophy 9,The Art of Calculus 1,0.001,0.3333,55.7222,1
The Art of Philosophy 6,The Art of Calculus 1,0.001,0.3333,55.7222,1
Fundamentals of Art 5,The Art of Philosophy 1,0.001,0.3333,55.7222,1
Handbook of Physics 4,Advanced Art 1,0.001,0.3333,55.7222,1
Introduction to Biology 4,Fundamentals of AI 5,0.001,0.3333,55.7222,1
Mastering Machine Learning 3,Mastering History 8,0.001,0.3333,55.7222,1
Guide to Machine Learning 6,Advanced Art 1,0.001,0.3333,55.7222,1
History of Art 6,History of Economics 4,0.001,0.3333,55.7222,1
Guide to Java 10,The Art of Economics 3,0.001,0.3333,55.7222,1
History of Biology 5,The Art of Economics 3,0.001,0.3333,55.7222,1
Mastering Art 8,Mastering Economics 7,0.001,0.3333,55.7222,1
Guide to Java 2,History of Economics 4,0.001,0.3333,55.7222,1
Handbook of Python 7,History of Machine Learning 9,0.001,0.3333,55.7222,1
Handbook of Python 7,The Art of Art 9,0.001,0.3333,55.7222,1
Guide to History 8,Guide to AI 9,0.001,0.3333,55.7222,1
Handbook of Machine Learning 3,Advanced Calculus 1,0.001,0.3333,55.7222,1
Fundamentals of Economics 9,Advanced History 3,0.001,0.3333,55.7222,1
Guide to Philosophy 6,The Art of History 3,0.001,0.3333,55.7222,1
History of Calculus 2,Handbook of Chemistry 6,0.001,0.3333,55.7222,1
Introduction to Java 1,Guide to Biology 10,0.001,0.3333,55.7222,1
Mastering Chemistry 7,Mastering Biology 6,0.001,0.3333,55.7222,1
History of Machine Learning 5,Fundamentals of Calculus 7,0.001,0.3333,55.7222,1
History of Music 4,Fundamentals of Calculus 7,0.001,0.3333,55.7222,1
Introduction to Music 10,Fundamentals of Calculus 7,0.001,0.3333,55.7222,1
The Art of Art 5,History of Music 7,0.001,0.3333,55.7222,1
Fundamentals of Calculus 1,Fundamentals of AI 5,0.001,0.3333,55.7222,1
Handbook of Java 1,The Art of Calculus 1,0.001,0.3333,55.7222,1
Introduction to Java 10,The Art of Calculus 1,0.001,0.3333,55.7222,1
Fundamentals of Music 9,Fundamentals of Economics 7,0.001,0.3333,55.7222,1
Fundamentals of Music 9,History of Machine Learning 8,0.001,0.3333,55.7222,1
Advanced Music 2,Handbook of Biology 10,0.001,0.3333,55.7222,1
The Art of Philosophy 6,Fundamentals of Economics 7,0.001,0.3333,55.7222,1
History of Economics 5,Guide to Biology 10,0.001,0.3333,55.7222,1
Introduction to Machine Learning 10,Guide to AI 3,0.001,0.3333,55.7222,1
Mastering Machine Learning 2,The Art of Philosophy 1,0.001,0.3333,55.7222,1
The Art of Art 3,Mastering Music 1,0.001,0.3333,55.7222,1
Advanced Philosophy 1,Advanced Calculus 1,0.001,0.3333,55.7222,1
Fundamentals of Calculus 1,Mastering Java 3,0.001,0.3333,55.7222,1
Fundamentals of AI 5,Guide to History 9,0.001,0.1667,55.7222,1
Guide to Biology 10,Guide to History 9,0.001,0.1667,55.7222,1
Fundamentals of AI 5,Handbook of Java 1,0.001,0.1667,55.7222,1
The Art of Philosophy 1,Handbook of Java 1,0.001,0.1667,55.7222,1
Guide to AI 6,The Art of Python 8,0.001,0.1667,55.7222,1
Introduction to Chemistry 9,Handbook of Calculus 3,0.001,0.1667,55.7222,1
Introduction to Chemistry 9,Guide to History 9,0.001,0.1667,55.7222,1
Guide to AI 6,Mastering Machine Learning 3,0.001,0.1667,55.7222,1
Advanced Python 10,Introduction to Biology 4,0.001,0.1667,55.7222,1
Introduction to Python 7,Fundamentals of Python 10,0.001,0.1667,55.7222,1
Guide to Calculus 9,Advanced Art 6,0.001,0.1667,55.7222,1
Mastering Music 6,Fundamentals of Music 3,0.001,0.1667,55.7222,1
Fundamentals of Chemistry 8,Introduction to Biology 4,0.001,0.1667,55.7222,1
Handbook of Chemistry 6,Introduction to Java 10,0.001,0.1667,55.7222,1
The Art of Calculus 1,Guide to Philosophy 9,0.001,0.1667,55.7222,1
The Art of Calculus 1,The Art of Philosophy 6,0.001,0.1667,55.7222,1
The Art of Philosophy 1,Fundamentals of Art 5,0.001,0.1667,55.7222,1
Advanced Art 1,Handbook of Physics 4,0.001,0.1667,55.7222,1
Fundamentals of AI 5,Introduction to Biology 4,0.001,0.1667,55.7222,1
Mastering History 8,Mastering Machine Learning 3,0.001,0.1667,55.7222,1
Advanced Art 1,Guide to Machine Learning 6,0.001,0.1667,55.7222,1
History of Economics 4,History of Art 6,0.001,0.1667,55.7222,1
The Art of Economics 3,Guide to Java 10,0.001,0.1667,55.7222,1
The Art of Economics 3,History of Biology 5,0.001,0.1667,55.7222,1
Mastering Economics 7,Mastering Art 8,0.001,0.1667,55.7222,1
History of Economics 4,Guide to Java 2,0.001,0.1667,55.7222,1
History of Machine Learning 9,Handbook of Python 7,0.001,0.1667,55.7222,1
The Art of Art 9,Handbook of Python 7,0.001,0.1667,55.7222,1
Guide to AI 9,Guide to History 8,0.001,0.1667,55.7222,1
Advanced Calculus 1,Handbook of Machine Learning 3,0.001,0.1667,55.7222,1
Advanced History 3,Fundamentals of Economics 9,0.001,0.1667,55.7222,1
The Art of History 3,Guide to Philosophy 6,0.001,0.1667,55.7222,1
Handbook of Chemistry 6,History of Calculus 2,0.001,0.1667,55.7222,1
Guide to Biology 10,Introduction to Java 1,0.001,0.1667,55.7222,1
Mastering Biology 6,Mastering Chemistry 7,0.001,0.1667,55.7222,1
Fundamentals of Calculus 7,History of Machine Learning 5,0.001,0.1667,55.7222,1
Fundamentals of Calculus 7,History of Music 4,0.001,0.1667,55.7222,1
Fundamentals of Calculus 7,Introduction to Music 10,0.001,0.1667,55.7222,1
History of Music 7,The Art of Art 5,0.001,0.1667,55.7222,1
Fundamentals of AI 5,Fundamentals of Calculus 1,0.001,0.1667,55.7222,1
The Art of Calculus 1,Handbook of Java 1,0.001,0.1667,55.7222,1
The Art of Calculus 1,Introduction to Java 10,0.001,0.1667,55.7222,1
Fundamentals of Economics 7,Fundamentals of Music 9,0.001,0.1667,55.7222,1
History of Machine Learning 8,Fundamentals of Music 9,0.001,0.1667,55.7222,1
Handbook of Biology 10,Advanced Music 2,0.001,0.1667,55.7222,1
Fundamentals of Economics 7,The Art of Philosophy 6,0.001,0.1667,55.7222,1
Guide to Biology 10,History of Economics 5,0.001,0.1667,55.7222,1
Guide to AI 3,Introduction to Machine Learning 10,0.001,0.1667,55.7222,1
The Art of Philosophy 1,Mastering Machine Learning 2,0.001,0.1667,55.7222,1
Mastering Music 1,The Art of Art 3,0.001,0.1667,55.7222,1
Advanced Calculus 1,Advanced Philosophy 1,0.001,0.1667,55.7222,1
Mastering Java 3,Fundamentals of Calculus 1,0.001,0.1667,55.7222,1
Guide to AI 5,Guide to Physics 4,0.001,0.1111,55.7222,1
Mastering Physics 3,Advanced Economics 3,0.001,0.1111,55.7222,1
The Art of Art 8,The Art of Physics 10,0.001,0.1111,55.7222,1
Handbook of Economics 9,Introduction to Java 9,0.001,0.1111,55.7222,1
Mastering Philosophy 9,The Art of Machine Learning 3,0.001,0.1111,55.7222,1
Advanced Machine Learning 1,Handbook of AI 6,0.001,0.1111,55.7222,1
Advanced Machine Learning 1,Introduction to Calculus 3,0.001,0.1111,55.7222,1
Mastering Philosophy 9,Fundamentals of Biology 2,0.001,0.1111,55.7222,1
Advanced AI 1,Fundamentals of Art 7,0.001,0.1111,55.7222,1
Guide to AI 5,Introduction to Economics 7,0.001,0.1111,55.7222,1
Fundamentals of Chemistry 6,Introduction to Economics 10,0.001,0.1111,55.7222,1
Advanced Machine Learning 1,Fundamentals of Biology 2,0.001,0.1111,55.7222,1
Handbook of Economics 9,Fundamentals of Biology 10,0.001,0.1111,55.7222,1
History of Physics 1,Guide to Biology 9,0.001,0.1111,55.7222,1
Guide to AI 5,Introduction to Philosophy 9,0.001,0.1111,55.7222,1
Introduction to AI 4,Fundamentals of Chemistry 7,0.001,0.5,50.15,1
Advanced Java 5,Fundamentals of Chemistry 4,0.001,0.5,50.15,1
Introduction to Music 4,Fundamentals of Chemistry 4,0.001,0.5,50.15,1
History of AI 5,Fundamentals of Chemistry 4,0.001,0.5,50.15,1
Handbook of AI 6,Fundamentals of Chemistry 4,0.001,0.5,50.15,1
Handbook of Calculus 1,Fundamentals of Chemistry 9,0.001,0.5,50.15,1
Introduction to Machine Learning 3,Advanced Java 8,0.001,0.5,50.15,1
Advanced Economics 1,Mastering Music 10,0.001,0.5,50.15,1
The Art of Philosophy 8,Advanced Chemistry 1,0.001,0.5,50.15,1
Fundamentals of Art 7,Mastering Music 10,0.001,0.5,50.15,1
Advanced Physics 8,Guide to Art 2,0.001,0.5,50.15,1
Handbook of Java 7,Mastering Calculus 9,0.001,0.5,50.15,1
Introduction to Machine Learning 8,Fundamentals of Chemistry 4,0.001,0.5,50.15,1
History of Music 6,Mastering Music 10,0.001,0.5,50.15,1
Mastering Physics 9,Guide to Art 2,0.001,0.5,50.15,1
Guide to Philosophy 1,Guide to Art 2,0.001,0.5,50.15,1
History of Economics 8,Introduction to Python 5,0.001,0.25,50.15,1
Mastering Calculus 3,Guide to Art 3,0.001,0.25,50.15,1
History of Machine Learning 6,Guide to Java 8,0.001,0.25,50.15,1
The Art of Music 1,Fundamentals of Philosophy 8,0.001,0.25,50.15,1
Handbook of Java 6,Fundamentals of Music 1,0.001,0.25,50.15,1
Handbook of Machine Learning 9,Guide to Art 10,0.001,0.25,50.15,1
Handbook of Machine Learning 9,Handbook of AI 9,0.001,0.25,50.15,1
History of Economics 1,History of Biology 9,0.001,0.25,50.15,1
Guide to Calculus 3,History of Chemistry 5,0.001,0.25,50.15,1
Introduction to Art 2,Mastering Chemistry 9,0.001,0.25,50.15,1
History of Java 1,Guide to Biology 3,0.001,0.25,50.15,1
Introduction to Python 6,Guide to Art 3,0.001,0.25,50.15,1
Mastering Physics 1,Handbook of Calculus 8,0.001,0.25,50.15,1
Mastering Physics 1,Guide to Python 10,0.001,0.25,50.15,1
Guide to Python 4,Fundamentals of Machine Learning 3,0.001,0.25,50.15,1
Handbook of Calculus 4,Mastering Art 10,0.001,0.25,50.15,1
Mastering Calculus 3,Advanced Biology 10,0.001,0.25,50.15,1
Handbook of Python 4,Introduction to AI 10,0.001,0.25,50.15,1
History of Chemistry 4,The Art of Economics 4,0.001,0.25,50.15,1
Guide to AI 1,Mastering Machine Learning 10,0.001,0.25,50.15,1
The Art of Java 6,Mastering Machine Learning 10,0.001,0.25,50.15,1
Advanced Biology 4,Advanced Python 1,0.001,0.25,50.15,1
Introduction to AI 8,Guide to Machine Learning 5,0.001,0.25,50.15,1
Introduction to AI 8,Introduction to Python 5,0.001,0.25,50.15,1
History of Calculus 3,Fundamentals of Machine Learning 3,0.001,0.25,50.15,1
History of Economics 8,Introduction to AI 3,0.001,0.25,50.15,1
Advanced Chemistry 9,Advanced Calculus 6,0.001,0.25,50.15,1
History of Calculus 3,History of Chemistry 7,0.001,0.25,50.15,1
The Art of Philosophy 4,Introduction to History 9,0.001,0.25,50.15,1
Advanced History 7,History of Calculus 7,0.001,0.25,50.15,1
Handbook of Python 2,History of Calculus 7,0.001,0.25,50.15,1
Fundamentals of Philosophy 9,History of Chemistry 5,0.001,0.25,50.15,1
Guide to Philosophy 3,Introduction to Machine Learning 1,0.001,0.25,50.15,1
Advanced Physics 4,Fundamentals of Philosophy 2,0.001,0.25,50.15,1
The Art of Biology 10,Fundamentals of Economics 4,0.001,0.25,50.15,1
Mastering AI 9,Introduction to AI 10,0.001,0.25,50.15,1
Guide to AI 1,Fundamentals of Economics 4,0.001,0.25,50.15,1
Advanced Art 2,Fundamentals of Philosophy 2,0.001,0.25,50.15,1
History of Economics 8,Fundamentals of Music 1,0.001,0.25,50.15,1
The Art of Machine Learning 9,Guide to Python 10,0.001,0.25,50.15,1
Guide to Calculus 3,Handbook of Art 5,0.001,0.25,50.15,1
Advanced Python 2,Introduction to AI 10,0.001,0.25,50.15,1
The Art of Physics 5,The Art of History 4,0.001,0.25,50.15,1
The Art of History 8,Mastering Machine Learning 10,0.001,0.25,50.15,1
Advanced Machine Learning 8,Introduction to Calculus 2,0.001,0.25,50.15,1
The Art of Economics 2,Fundamentals of Physics 6,0.001,0.25,50.15,1
History of Python 9,Advanced History 10,0.001,0.25,50.15,1
History of Biology 8,Introduction to AI 3,0.001,0.25,50.15,1
Advanced Physics 4,Introduction to Philosophy 6,0.001,0.25,50.15,1
The Art of Economics 2,Introduction to AI 3,0.001,0.25,50.15,1
Guide to Music 4,Guide to Java 8,0.001,0.25,50.15,1
Handbook of Machine Learning 7,Handbook of Music 2,0.001,0.25,50.15,1
Fundamentals of Physics 1,Fundamentals of Philosophy 6,0.001,0.25,50.15,1
Guide to Machine Learning 2,History of Chemistry 5,0.001,0.25,50.15,1
History of Chemistry 2,Guide to Python 10,0.001,0.25,50.15,1
History of Economics 8,Advanced Art 4,0.001,0.25,50.15,1
Handbook of Machine Learning 9,Introduction to History 7,0.001,0.25,50.15,1
History of Chemistry 2,Guide to Chemistry 2,0.001,0.25,50.15,1
Mastering History 7,Guide to Python 7,0.001,0.25,50.15,1
The Art of Biology 10,Advanced Art 4,0.001,0.25,50.15,1
The Art of Java 6,Fundamentals of Machine Learning 3,0.001,0.25,50.15,1
The Art of Java 6,Fundamentals of Music 1,0.001,0.25,50.15,1
The Art of Machine Learning 2,Handbook of Music 6,0.001,0.25,50.15,1
Mastering Physics 1,Handbook of Art 7,0.001,0.25,50.15,1
Fundamentals of Physics 2,Advanced Python 1,0.001,0.25,50.15,1
Mastering Python 4,Introduction to Philosophy 6,0.001,0.25,50.15,1
Advanced Python 2,The Art of History 4,0.001,0.25,50.15,1
Guide to AI 1,The Art of History 4,0.001,0.25,50.15,1
Guide to AI 8,Advanced History 5,0.001,0.25,50.15,1
Mastering AI 9,Advanced Calculus 9,0.001,0.25,50.15,1
Mastering AI 9,Advanced Python 7,0.001,0.25,50.15,1
History of Calculus 5,Advanced Biology 10,0.001,0.25,50.15,1
Advanced Biology 4,Fundamentals of Economics 4,0.001,0.25,50.15,1
Handbook of Python 2,Fundamentals of Music 1,0.001,0.25,50.15,1
Handbook of Java 2,Handbook of AI 9,0.001,0.25,50.15,1
Advanced Chemistry 8,Advanced History 10,0.001,0.25,50.15,1
Advanced Chemistry 8,Handbook of Art 7,0.001,0.25,50.15,1
Introduction to Python 5,History of Economics 8,0.001,0.2,50.15,1
