Itemset,Frequency,Type
History of Calculus 7,2,1-Itemset
The Art of Calculus 1,2,1-Itemset
Mastering History 8,2,1-Itemset
Introduction to Philosophy 9,2,1-Itemset
The Art of Calculus 1,2,1-Itemset
Advanced Calculus 9,2,1-Itemset
Introduction to Python 7,2,1-Itemset
Mastering Calculus 7,2,1-Itemset
Mastering Music 7,2,1-Itemset
Fundamentals of Art 7,2,1-Itemset
History of Python 6,2,1-Itemset
Guide to AI 5,2,1-Itemset
Introduction to Machine Learning 7,2,1-Itemset
The Art of Art 1,2,1-Itemset
Mastering Philosophy 4,2,1-Itemset
Fundamentals of Music 6,2,1-Itemset
History of Music 6,2,1-Itemset
Handbook of Philosophy 2,2,1-Itemset
History of AI 5,2,1-Itemset
Introduction to Art 1,2,1-Itemset
Mastering Philosophy 1,2,1-Itemset
Handbook of Java 8,2,1-Itemset
Introduction to Calculus 10,2,1-Itemset
Mastering Biology 6,2,1-Itemset
Mastering Chemistry 4,2,1-Itemset
History of Chemistry 9,2,1-Itemset
Handbook of Calculus 1,2,1-Itemset
Mastering Chemistry 6,2,1-Itemset
Fundamentals of Biology 10,2,1-Itemset
Advanced Python 4,2,1-Itemset
The Art of Calculus 5,2,1-Itemset
History of Chemistry 6,2,1-Itemset
Guide to Art 2,2,1-Itemset
The Art of History 5,2,1-Itemset
Mastering Economics 2,2,1-Itemset
History of Economics 3,2,1-Itemset
History of Machine Learning 10,2,1-Itemset
Mastering AI 10,2,1-Itemset
Mastering Calculus 2,2,1-Itemset
History of Music 10,2,1-Itemset
Advanced Music 2,2,1-Itemset
Handbook of Economics 9,2,1-Itemset
History of History 4,2,1-Itemset
The Art of Python 6,2,1-Itemset
Advanced History 6,2,1-Itemset
Mastering Java 4,2,1-Itemset
Handbook of Economics 4,2,1-Itemset
Guide to Biology 10,2,1-Itemset
Fundamentals of Art 6,2,1-Itemset
Handbook of Physics 7,2,1-Itemset
Guide to AI 4,2,1-Itemset
History of Chemistry 2,2,1-Itemset
Guide to Biology 3,2,1-Itemset
Mastering Python 6,2,1-Itemset
Fundamentals of Python 10,2,1-Itemset
Handbook of Economics 9,2,1-Itemset
Handbook of Calculus 4,2,1-Itemset
Mastering Biology 4,2,1-Itemset
Introduction to Biology 9,2,1-Itemset
Fundamentals of Java 3,2,1-Itemset
Advanced Biology 9,2,1-Itemset
Advanced Philosophy 2,2,1-Itemset
Mastering Art 6,2,1-Itemset
Handbook of Biology 9,2,1-Itemset
Handbook of Chemistry 5,2,1-Itemset
Introduction to Art 6,2,1-Itemset
Advanced AI 2,2,1-Itemset
The Art of History 8,2,1-Itemset
History of Physics 10,2,1-Itemset
Mastering Calculus 3,2,1-Itemset
The Art of Java 6,2,1-Itemset
Advanced History 6,2,1-Itemset
The Art of Physics 3,2,1-Itemset
Mastering Calculus 7,2,1-Itemset
History of Chemistry 10,2,1-Itemset
Handbook of Chemistry 5,2,1-Itemset
History of Economics 6,2,1-Itemset
Guide to Calculus 2,2,1-Itemset
Fundamentals of Music 8,2,1-Itemset
Fundamentals of AI 9,2,1-Itemset
The Art of Chemistry 1,2,1-Itemset
Guide to Art 3,2,1-Itemset
Advanced Python 7,2,1-Itemset
Guide to Java 4,2,1-Itemset
Advanced Machine Learning 1,2,1-Itemset
History of Physics 3,2,1-Itemset
Introduction to Python 7,2,1-Itemset
Advanced Physics 8,2,1-Itemset
Mastering Python 4,2,1-Itemset
Mastering Music 6,2,1-Itemset
Advanced Chemistry 10,2,1-Itemset
Advanced Chemistry 5,2,1-Itemset
Mastering Java 8,2,1-Itemset
Introduction to Economics 10,2,1-Itemset
Mastering AI 7,2,1-Itemset
Guide to Music 4,2,1-Itemset
Mastering Chemistry 1,2,1-Itemset
Introduction to Java 9,2,1-Itemset
The Art of Physics 8,2,1-Itemset
Advanced History 10,2,1-Itemset
"Advanced Machine Learning 1, Fundamentals of Chemistry 4",2,2-Itemset
"Introduction to AI 10, The Art of History 1",2,2-Itemset
"Handbook of Calculus 8, Handbook of Philosophy 10",2,2-Itemset
"Handbook of Calculus 2, Introduction to Music 3",2,2-Itemset
"Introduction to Physics 3, The Art of History 6",2,2-Itemset
"Handbook of Machine Learning 9, Introduction to Art 6",2,2-Itemset
"Advanced Art 1, Fundamentals of Economics 6",2,2-Itemset
"Guide to AI 3, Mastering Java 6",2,2-Itemset
"History of Economics 8, Mastering Calculus 6",2,2-Itemset
"Advanced Economics 7, Fundamentals of Java 3",2,2-Itemset
"Introduction to Music 3, The Art of History 1",1,2-Itemset
"Fundamentals of Chemistry 6, Introduction to Music 3",1,2-Itemset
"Advanced Physics 2, The Art of Art 8",1,2-Itemset
"Advanced Chemistry 5, Advanced Java 7",1,2-Itemset
"Advanced Economics 5, Advanced Physics 2",1,2-Itemset
"Advanced AI 1, Introduction to Music 3",1,2-Itemset
"Handbook of Philosophy 10, The Art of History 5",1,2-Itemset
"Introduction to Chemistry 5, Mastering AI 6",1,2-Itemset
"Mastering Java 10, The Art of History 5",1,2-Itemset
"Advanced Java 1, Guide to Biology 7",1,2-Itemset
"Advanced Economics 7, Fundamentals of Biology 4",1,2-Itemset
"Mastering Calculus 9, The Art of History 1",1,2-Itemset
"Advanced Chemistry 1, The Art of History 1",1,2-Itemset
"Advanced Physics 2, Guide to Art 2",1,2-Itemset
"Advanced Chemistry 5, Mastering Python 6",1,2-Itemset
"Advanced Physics 2, Fundamentals of Physics 9",1,2-Itemset
"Advanced Physics 2, History of Calculus 4",1,2-Itemset
"Fundamentals of Biology 4, The Art of Calculus 3",1,2-Itemset
"Introduction to Machine Learning 7, Mastering History 2",1,2-Itemset
"Handbook of Chemistry 5, Mastering History 2",1,2-Itemset
"Fundamentals of Biology 4, Guide to Physics 1",1,2-Itemset
"Fundamentals of Biology 4, Guide to Music 2",1,2-Itemset
"Fundamentals of Chemistry 9, The Art of Calculus 8",1,2-Itemset
"Advanced Economics 5, History of History 7",1,2-Itemset
"Handbook of Economics 9, The Art of History 5",1,2-Itemset
"Advanced Java 1, Mastering Music 8",1,2-Itemset
"Advanced Java 1, The Art of Biology 6",1,2-Itemset
"Advanced Java 1, Handbook of History 9",1,2-Itemset
"Handbook of Chemistry 5, Mastering Java 10",1,2-Itemset
"Guide to Music 2, Introduction to Art 6",1,2-Itemset
Handbook of Chemistry 5,1,1-Itemset
Introduction to Music 3,1,1-Itemset
History of Machine Learning 8,1,1-Itemset
Fundamentals of Calculus 2,1,1-Itemset
Introduction to Chemistry 2,1,1-Itemset
Fundamentals of AI 2,1,1-Itemset
Advanced Biology 5,1,1-Itemset
Fundamentals of Music 4,1,1-Itemset
The Art of Biology 9,1,1-Itemset
The Art of AI 7,1,1-Itemset
Introduction to Art 4,1,1-Itemset
The Art of Java 8,1,1-Itemset
Handbook of Java 9,1,1-Itemset
History of AI 10,1,1-Itemset
Guide to Art 5,1,1-Itemset
The Art of Java 9,1,1-Itemset
The Art of Economics 2,1,1-Itemset
Handbook of Calculus 7,1,1-Itemset
Fundamentals of Art 3,1,1-Itemset
Advanced Art 2,1,1-Itemset
Fundamentals of Machine Learning 5,1,1-Itemset
History of Java 3,1,1-Itemset
Handbook of History 6,1,1-Itemset
Advanced Calculus 5,1,1-Itemset
Guide to Chemistry 6,1,1-Itemset
Fundamentals of Art 3,1,1-Itemset
Handbook of Biology 7,1,1-Itemset
Mastering Chemistry 1,1,1-Itemset
History of Java 1,1,1-Itemset
Mastering Java 8,1,1-Itemset
The Art of Art 6,1,1-Itemset
Introduction to Physics 8,1,1-Itemset
Fundamentals of Biology 4,1,1-Itemset
History of Machine Learning 8,1,1-Itemset
The Art of History 1,1,1-Itemset
History of Biology 4,1,1-Itemset
Introduction to Calculus 3,1,1-Itemset
Guide to AI 4,1,1-Itemset
Introduction to Python 3,1,1-Itemset
Fundamentals of Physics 1,1,1-Itemset
Fundamentals of Java 10,1,1-Itemset
Advanced History 4,1,1-Itemset
The Art of Machine Learning 6,1,1-Itemset
Advanced Physics 8,1,1-Itemset
Introduction to Economics 9,1,1-Itemset
Fundamentals of Philosophy 4,1,1-Itemset
The Art of Biology 2,1,1-Itemset
Advanced AI 4,1,1-Itemset
History of Machine Learning 2,1,1-Itemset
Handbook of Philosophy 10,1,1-Itemset
Handbook of Music 6,1,1-Itemset
Mastering AI 9,1,1-Itemset
The Art of Physics 5,1,1-Itemset
Mastering Music 8,1,1-Itemset
Fundamentals of Python 9,1,1-Itemset
Handbook of Python 6,1,1-Itemset
Fundamentals of Biology 2,1,1-Itemset
Introduction to Physics 6,1,1-Itemset
The Art of Machine Learning 9,1,1-Itemset
Advanced Music 6,1,1-Itemset
Guide to Art 2,1,1-Itemset
Introduction to Music 5,1,1-Itemset
The Art of Biology 3,1,1-Itemset
Introduction to Machine Learning 1,1,1-Itemset
Mastering Chemistry 8,1,1-Itemset
Advanced Music 8,1,1-Itemset
The Art of Java 3,1,1-Itemset
Guide to Art 1,1,1-Itemset
Mastering History 7,1,1-Itemset
The Art of Biology 2,1,1-Itemset
Advanced Machine Learning 7,1,1-Itemset
Advanced Chemistry 9,1,1-Itemset
Advanced AI 4,1,1-Itemset
The Art of Machine Learning 3,1,1-Itemset
Introduction to History 6,1,1-Itemset
Mastering Chemistry 1,1,1-Itemset
Mastering Python 3,1,1-Itemset
Fundamentals of AI 9,1,1-Itemset
The Art of Economics 7,1,1-Itemset
Guide to Machine Learning 8,1,1-Itemset
The Art of Art 5,1,1-Itemset
Mastering History 7,1,1-Itemset
Guide to Chemistry 6,1,1-Itemset
Fundamentals of Physics 9,1,1-Itemset
Advanced Philosophy 7,1,1-Itemset
Introduction to Calculus 3,1,1-Itemset
Introduction to Python 6,1,1-Itemset
Mastering Art 4,1,1-Itemset
The Art of Chemistry 4,1,1-Itemset
Fundamentals of Machine Learning 6,1,1-Itemset
History of Economics 3,1,1-Itemset
Introduction to AI 10,1,1-Itemset
History of Python 8,1,1-Itemset
Introduction to Economics 6,1,1-Itemset
Handbook of Chemistry 2,1,1-Itemset
Introduction to Biology 2,1,1-Itemset
"Fundamentals of Music 8, The Art of Physics 3",1,2-Itemset
"Fundamentals of Art 3, Fundamentals of Art 7",1,2-Itemset
"History of History 3, History of Music 3",1,2-Itemset
History of History 3,1,1-Itemset
Mastering Machine Learning 10,1,1-Itemset
History of Calculus 10,1,1-Itemset
The Art of Biology 9,1,1-Itemset
The Art of Art 2,1,1-Itemset
Introduction to Economics 4,1,1-Itemset
Mastering Physics 7,1,1-Itemset
Fundamentals of Art 4,1,1-Itemset
History of Machine Learning 2,1,1-Itemset
Fundamentals of Biology 8,1,1-Itemset
Fundamentals of Physics 9,1,1-Itemset
The Art of Python 9,1,1-Itemset
Handbook of Physics 4,1,1-Itemset
"Fundamentals of Music 7, History of AI 3",1,2-Itemset
"History of Calculus 1, Mastering Philosophy 6",1,2-Itemset
"Fundamentals of Music 8, The Art of Biology 8",1,2-Itemset
"Guide to Economics 3, Introduction to Java 10",1,2-Itemset
"Fundamentals of Machine Learning 9, Mastering Chemistry 6",1,2-Itemset
"Fundamentals of Calculus 4, Handbook of Calculus 3",1,2-Itemset
"Fundamentals of Physics 3, Introduction to Art 4",1,2-Itemset
"Fundamentals of History 5, Mastering Economics 9",1,2-Itemset
"History of Physics 10, Introduction to Economics 10",1,2-Itemset
"Guide to AI 4, The Art of Python 6",1,2-Itemset
"Handbook of Philosophy 9, Introduction to Biology 2",1,2-Itemset
"Advanced Physics 3, Mastering Chemistry 4",1,2-Itemset
"Handbook of History 2, The Art of Java 9",1,2-Itemset
"Fundamentals of Music 7, Handbook of Art 6",1,2-Itemset
"Mastering Calculus 2, The Art of AI 7",1,2-Itemset
"History of AI 8, The Art of Machine Learning 3",1,2-Itemset
"Handbook of Python 6, Mastering Chemistry 3",1,2-Itemset
"Advanced Biology 5, Introduction to History 8",1,2-Itemset
"Handbook of Music 8, History of Calculus 5",1,2-Itemset
"Advanced Art 8, Guide to Philosophy 3",1,2-Itemset
"History of Economics 1, Introduction to Art 1",1,2-Itemset
"Advanced Philosophy 10, The Art of Economics 2",1,2-Itemset
"Advanced Philosophy 10, The Art of Art 2",1,2-Itemset
"Introduction to AI 6, The Art of Java 8",1,2-Itemset
"Advanced Music 2, Introduction to Python 3",1,2-Itemset
"Introduction to Chemistry 1, Introduction to Music 5",1,2-Itemset
"Fundamentals of Physics 3, The Art of Machine Learning 6",1,2-Itemset
"The Art of Art 6, The Art of Music 3",1,2-Itemset
"History of Music 4, Introduction to Chemistry 10",1,2-Itemset
"Fundamentals of AI 4, History of Machine Learning 5",1,2-Itemset
"Guide to Python 6, The Art of Chemistry 8",1,2-Itemset
"Guide to Economics 5, Handbook of Economics 4",1,2-Itemset
"Advanced History 10, Advanced Python 3",1,2-Itemset
"Guide to Chemistry 2, Introduction to Art 4",1,2-Itemset
"History of Biology 9, Introduction to Art 1",1,2-Itemset
"Guide to Biology 2, Mastering Art 10",1,2-Itemset
"Advanced Machine Learning 7, Fundamentals of AI 2",1,2-Itemset
"Introduction to History 4, Introduction to Philosophy 10",1,2-Itemset
"Guide to Chemistry 6, Guide to History 1",1,2-Itemset
"Mastering Machine Learning 1, The Art of Art 1",1,2-Itemset
"Handbook of Music 5, The Art of Calculus 7",1,2-Itemset
"Handbook of AI 10, The Art of History 7",1,2-Itemset
"History of Physics 3, Introduction to Music 4",1,2-Itemset
"History of Economics 3, History of Philosophy 3",1,2-Itemset
"Handbook of Biology 9, History of Biology 2",1,2-Itemset
"Handbook of Philosophy 2, The Art of Art 1",1,2-Itemset
"Guide to Music 8, Introduction to Biology 9",1,2-Itemset
"Guide to Machine Learning 2, Introduction to Biology 9",1,2-Itemset
"Handbook of Biology 10, Introduction to Python 3",1,2-Itemset
"Advanced Chemistry 10, The Art of Biology 3",1,2-Itemset
"Introduction to Economics 6, Introduction to Java 5",1,2-Itemset
"Introduction to Chemistry 9, Introduction to Philosophy 4",1,2-Itemset
"Mastering Java 3, Mastering Music 9",1,2-Itemset
"Guide to Economics 3, Handbook of Chemistry 6",1,2-Itemset
"History of History 3, History of Machine Learning 8",1,2-Itemset
"History of Economics 4, The Art of Java 8",1,2-Itemset
"Guide to Biology 2, History of Music 2",1,2-Itemset
"Handbook of Economics 1, Introduction to Calculus 2",1,2-Itemset
"Introduction to Chemistry 2, Introduction to Economics 4",1,2-Itemset
"Introduction to History 9, Introduction to Music 5",1,2-Itemset
"Introduction to History 6, The Art of Python 9",1,2-Itemset
"Guide to Machine Learning 5, The Art of Machine Learning 6",1,2-Itemset
"History of AI 10, The Art of Economics 4",1,2-Itemset
"Fundamentals of Philosophy 8, Mastering Philosophy 6",1,2-Itemset
"Handbook of Python 7, Mastering Chemistry 4",1,2-Itemset
"The Art of Biology 8, The Art of Physics 3",1,2-Itemset
"Advanced Java 5, Introduction to Python 1",1,2-Itemset
"Guide to History 8, Introduction to Philosophy 10",1,2-Itemset
"Handbook of History 6, Mastering Calculus 8",1,2-Itemset
"Handbook of Philosophy 5, The Art of Physics 1",1,2-Itemset
"Handbook of Biology 9, Introduction to Machine Learning 10",1,2-Itemset
"Introduction to Java 2, Mastering Economics 9",1,2-Itemset
"Advanced Philosophy 1, Guide to Art 5",1,2-Itemset
"Guide to Python 6, History of Music 10",1,2-Itemset
"Fundamentals of Python 4, History of Music 10",1,2-Itemset
"Advanced AI 6, Mastering Java 4",1,2-Itemset
"Handbook of Philosophy 2, Mastering Economics 2",1,2-Itemset
"Guide to Economics 5, Handbook of Art 10",1,2-Itemset
"Fundamentals of Art 5, Fundamentals of Music 6",1,2-Itemset
"Introduction to AI 4, Mastering Economics 2",1,2-Itemset
"History of Machine Learning 5, The Art of Philosophy 8",1,2-Itemset
"Handbook of Calculus 3, Mastering Calculus 4",1,2-Itemset
"Fundamentals of Chemistry 2, Mastering Physics 9",1,2-Itemset
"Fundamentals of Biology 2, Handbook of Physics 10",1,2-Itemset
"Guide to Biology 9, History of Python 8",1,2-Itemset
"Advanced Chemistry 7, Fundamentals of Chemistry 2",1,2-Itemset
"History of Chemistry 9, History of Economics 3",1,2-Itemset
"Introduction to Philosophy 7, Mastering Music 7",1,2-Itemset
"Handbook of Biology 5, Handbook of Java 3",1,2-Itemset
"The Art of Music 3, The Art of Physics 10",1,2-Itemset
"Guide to Machine Learning 6, Handbook of Calculus 1",1,2-Itemset
"Handbook of Art 6, History of AI 3",1,2-Itemset
"Handbook of Music 5, Mastering Art 8",1,2-Itemset
"History of Machine Learning 10, History of Music 3",1,2-Itemset
"Fundamentals of Chemistry 10, Handbook of Music 7",1,2-Itemset
"Fundamentals of Art 5, The Art of Calculus 7",1,2-Itemset
"History of Chemistry 10, The Art of Java 9",1,2-Itemset
"The Art of Music 6, The Art of Philosophy 9",1,2-Itemset
"Mastering Chemistry 2, Mastering Chemistry 3",1,2-Itemset
"Handbook of Music 8, Mastering History 6",1,2-Itemset
"Fundamentals of Calculus 4, Mastering Calculus 1",1,2-Itemset
"Advanced Java 3, Fundamentals of AI 9",1,2-Itemset
"Guide to Machine Learning 8, History of Philosophy 8",1,2-Itemset
"Guide to Philosophy 1, Introduction to Chemistry 3",1,2-Itemset
"Handbook of Music 3, Mastering Biology 7",1,2-Itemset
"Fundamentals of Java 8, Mastering Chemistry 1",1,2-Itemset
"Fundamentals of Biology 10, The Art of Physics 2",1,2-Itemset
"Fundamentals of Music 9, Introduction to Philosophy 3",1,2-Itemset
"Fundamentals of Physics 10, Introduction to Java 10",1,2-Itemset
"Introduction to Physics 5, Mastering Art 6",1,2-Itemset
"Introduction to Chemistry 3, Introduction to Physics 5",1,2-Itemset
"Fundamentals of Philosophy 4, Mastering Philosophy 5",1,2-Itemset
"History of Python 10, Introduction to Music 2",1,2-Itemset
"Guide to Calculus 6, History of Machine Learning 2",1,2-Itemset
"Advanced History 7, History of Machine Learning 2",1,2-Itemset
"Mastering Java 4, The Art of Chemistry 1",1,2-Itemset
"Handbook of Music 3, History of Machine Learning 6",1,2-Itemset
"Handbook of Calculus 7, History of Calculus 4",1,2-Itemset
"History of AI 7, Introduction to Philosophy 4",1,2-Itemset
"Advanced AI 4, Fundamentals of Physics 5",1,2-Itemset
"Fundamentals of Physics 5, Introduction to History 6",1,2-Itemset
"History of AI 10, History of Physics 6",1,2-Itemset
"Fundamentals of Physics 9, Fundamentals of Python 9",1,2-Itemset
"Advanced Biology 5, Handbook of Biology 7",1,2-Itemset
"Guide to Machine Learning 8, History of Physics 6",1,2-Itemset
"Guide to Java 4, Handbook of Calculus 7",1,2-Itemset
"Guide to Java 4, History of Biology 4",1,2-Itemset
"Advanced Physics 3, Fundamentals of Python 7",1,2-Itemset
"Guide to AI 8, Handbook of History 2",1,2-Itemset
"Advanced Biology 4, Handbook of History 2",1,2-Itemset
"Introduction to AI 8, Introduction to Machine Learning 8",1,2-Itemset
"Handbook of Music 5, History of Philosophy 9",1,2-Itemset
"History of Music 3, Mastering Java 6",1,2-Itemset
"History of Chemistry 4, Introduction to Philosophy 5",1,2-Itemset
"Mastering History 3, The Art of Calculus 7",1,2-Itemset
"Handbook of Music 5, Mastering History 3",1,2-Itemset
"Handbook of Philosophy 9, History of Art 7",1,2-Itemset
"Fundamentals of Biology 3, The Art of Philosophy 4",1,2-Itemset
"History of Machine Learning 4, The Art of Machine Learning 2",1,2-Itemset
"Advanced Java 5, Guide to Python 4",1,2-Itemset
"Handbook of Biology 5, Introduction to Python 6",1,2-Itemset
"Fundamentals of Java 10, History of Machine Learning 4",1,2-Itemset
"Guide to Physics 4, The Art of Philosophy 4",1,2-Itemset
"Handbook of Physics 8, Mastering AI 7",1,2-Itemset
"Fundamentals of Biology 2, The Art of Physics 8",1,2-Itemset
"Advanced Machine Learning 8, Mastering Physics 4",1,2-Itemset
"Introduction to Philosophy 5, The Art of Java 6",1,2-Itemset
"Introduction to AI 6, The Art of Philosophy 8",1,2-Itemset
"Guide to AI 8, Handbook of Python 9",1,2-Itemset
"Handbook of Machine Learning 7, Mastering Machine Learning 8",1,2-Itemset
"Advanced Machine Learning 8, History of Music 10",1,2-Itemset
"The Art of Chemistry 3, The Art of Economics 2",1,2-Itemset
"Advanced Chemistry 8, Guide to Biology 9",1,2-Itemset
"History of Python 6, The Art of History 8",1,2-Itemset
"Advanced Chemistry 6, The Art of Physics 5",1,2-Itemset
"Fundamentals of AI 7, Guide to Calculus 3",1,2-Itemset
"Fundamentals of Philosophy 4, Introduction to History 8",1,2-Itemset
"Guide to Biology 8, The Art of Machine Learning 2",1,2-Itemset
"Advanced Chemistry 8, Guide to Biology 8",1,2-Itemset
"Introduction to Art 2, Mastering Music 7",1,2-Itemset
"Fundamentals of Python 4, Guide to Python 6",1,2-Itemset
"Advanced Python 9, Guide to Machine Learning 1",1,2-Itemset
"Mastering Art 6, Mastering Philosophy 5",1,2-Itemset
"Fundamentals of Economics 9, Mastering Philosophy 5",1,2-Itemset
"Fundamentals of Economics 9, Mastering Art 6",1,2-Itemset
"Fundamentals of Chemistry 6, History of Physics 10",1,2-Itemset
"Handbook of Economics 9, The Art of Biology 3",1,2-Itemset
"Advanced Machine Learning 1, Handbook of Physics 2",1,2-Itemset
"History of AI 8, Mastering Philosophy 9",1,2-Itemset
"Advanced Art 8, Advanced Philosophy 2",1,2-Itemset
"Handbook of History 9, Mastering Art 4",1,2-Itemset
"Fundamentals of Physics 10, The Art of Physics 8",1,2-Itemset
"History of Calculus 5, Mastering Philosophy 7",1,2-Itemset
"Fundamentals of Python 3, History of Java 9",1,2-Itemset
"Fundamentals of Physics 2, Handbook of Music 9",1,2-Itemset
"Introduction to Art 5, The Art of History 7",1,2-Itemset
"History of Music 4, Introduction to Music 10",1,2-Itemset
"History of Music 5, Introduction to Chemistry 1",1,2-Itemset
"Mastering Chemistry 10, Mastering Machine Learning 3",1,2-Itemset
"Fundamentals of Physics 3, History of Music 5",1,2-Itemset
"Fundamentals of Music 9, Handbook of Java 4",1,2-Itemset
"Handbook of Physics 10, Mastering Machine Learning 2",1,2-Itemset
"Introduction to Physics 10, Mastering Chemistry 1",1,2-Itemset
"Guide to Java 10, History of Biology 5",1,2-Itemset
"History of AI 3, The Art of Physics 1",1,2-Itemset
"Fundamentals of Music 3, Handbook of History 6",1,2-Itemset
"Fundamentals of Chemistry 10, Mastering Economics 5",1,2-Itemset
"Guide to Philosophy 9, The Art of Philosophy 6",1,2-Itemset
"Advanced Art 6, Guide to Machine Learning 1",1,2-Itemset
"Fundamentals of Music 3, The Art of Java 7",1,2-Itemset
"History of AI 9, Introduction to Java 10",1,2-Itemset
"Handbook of Machine Learning 3, Introduction to History 1",1,2-Itemset
"Fundamentals of Python 3, Introduction to Calculus 2",1,2-Itemset
"Guide to Calculus 1, Mastering Chemistry 9",1,2-Itemset
"History of Chemistry 6, Introduction to Economics 4",1,2-Itemset
"Advanced Calculus 6, History of Chemistry 6",1,2-Itemset
"History of Music 6, Mastering Art 10",1,2-Itemset
"Mastering Machine Learning 10, The Art of Physics 3",1,2-Itemset
"Advanced Biology 3, Mastering Music 10",1,2-Itemset
"Guide to Art 2, Mastering Chemistry 8",1,2-Itemset
"Advanced AI 4, Fundamentals of Chemistry 7",1,2-Itemset
"Fundamentals of Chemistry 4, Handbook of Physics 2",1,2-Itemset
"Advanced Biology 9, Fundamentals of Chemistry 4",1,2-Itemset
"Advanced Python 4, Mastering Machine Learning 2",1,2-Itemset
"History of Calculus 2, Mastering Physics 5",1,2-Itemset
"Introduction to Chemistry 3, Mastering Art 6",1,2-Itemset
"Mastering Physics 5, The Art of Physics 2",1,2-Itemset
"Advanced AI 6, Fundamentals of Python 4",1,2-Itemset
"History of Biology 2, History of Chemistry 7",1,2-Itemset
"Handbook of AI 10, History of Biology 9",1,2-Itemset
"Fundamentals of Physics 6, The Art of Physics 10",1,2-Itemset
"Guide to Art 3, History of Chemistry 6",1,2-Itemset
"Advanced Economics 1, Guide to Machine Learning 5",1,2-Itemset
"Advanced Calculus 6, Fundamentals of Biology 3",1,2-Itemset
"Handbook of Art 5, Introduction to Philosophy 3",1,2-Itemset
"Advanced Python 8, Mastering Biology 9",1,2-Itemset
"Fundamentals of Philosophy 6, Mastering Chemistry 4",1,2-Itemset
"Fundamentals of Art 6, Introduction to Machine Learning 1",1,2-Itemset
"Advanced Chemistry 6, Guide to Java 8",1,2-Itemset
"Advanced Music 10, Fundamentals of Philosophy 2",1,2-Itemset
"Guide to Economics 1, Introduction to Economics 7",1,2-Itemset
"Advanced Calculus 9, Advanced Economics 3",1,2-Itemset
"History of History 4, Mastering Philosophy 2",1,2-Itemset
"Guide to Calculus 1, Handbook of Art 5",1,2-Itemset
"Advanced Biology 10, Guide to Philosophy 1",1,2-Itemset
"Handbook of History 8, Handbook of Music 6",1,2-Itemset
"Advanced Python 1, Handbook of Music 9",1,2-Itemset
"Fundamentals of Philosophy 4, Guide to Economics 1",1,2-Itemset
"History of History 4, The Art of Python 9",1,2-Itemset
"Handbook of Music 2, Mastering Machine Learning 8",1,2-Itemset
"Advanced Python 8, History of Machine Learning 2",1,2-Itemset
"Fundamentals of Economics 6, Handbook of Python 9",1,2-Itemset
"Introduction to AI 3, The Art of Chemistry 3",1,2-Itemset
"Handbook of Chemistry 7, Mastering Physics 9",1,2-Itemset
"History of Python 6, Mastering Machine Learning 10",1,2-Itemset
"Advanced Chemistry 6, The Art of History 4",1,2-Itemset
"Handbook of AI 6, Handbook of Chemistry 7",1,2-Itemset
"Advanced History 6, Advanced Music 1",1,2-Itemset
"Fundamentals of Philosophy 2, The Art of AI 10",1,2-Itemset
"Guide to Physics 4, Handbook of Music 6",1,2-Itemset
"Fundamentals of Python 8, Introduction to History 10",1,2-Itemset
"Guide to Calculus 2, Mastering History 8",1,2-Itemset
"Advanced Chemistry 10, Handbook of Music 3",1,2-Itemset
"History of AI 2, Mastering History 2",1,2-Itemset
"Guide to Biology 7, The Art of Art 6",1,2-Itemset
"Introduction to Physics 6, Mastering AI 6",1,2-Itemset
"The Art of Calculus 3, The Art of Chemistry 8",1,2-Itemset
"History of Java 3, Mastering AI 6",1,2-Itemset
"Fundamentals of AI 9, Guide to Music 2",1,2-Itemset
"Handbook of Chemistry 5, The Art of Java 3",1,2-Itemset
"Guide to Physics 1, The Art of Biology 9",1,2-Itemset
"Introduction to Machine Learning 7, Mastering Physics 7",1,2-Itemset
"Advanced Biology 10, Mastering Philosophy 7",1,2-Itemset
"History of Python 7, The Art of Python 3",1,2-Itemset
"Guide to Biology 3, History of Python 7",1,2-Itemset
"Handbook of Chemistry 7, Mastering Calculus 2",1,2-Itemset
"Handbook of History 3, The Art of History 2",1,2-Itemset
"Handbook of Machine Learning 2, The Art of History 2",1,2-Itemset
"The Art of Calculus 7, The Art of Philosophy 1",1,2-Itemset
"History of Economics 4, Mastering Calculus 4",1,2-Itemset
"Introduction to History 10, Mastering Biology 9",1,2-Itemset
"Guide to AI 9, Handbook of Biology 5",1,2-Itemset
"History of Music 2, The Art of History 7",1,2-Itemset
"Handbook of AI 10, History of Music 2",1,2-Itemset
"Introduction to AI 4, Introduction to Java 5",1,2-Itemset
"Guide to AI 3, Handbook of Art 6",1,2-Itemset
"Mastering Physics 4, The Art of Art 9",1,2-Itemset
"History of Music 9, Introduction to Physics 5",1,2-Itemset
"History of Machine Learning 9, Introduction to Physics 5",1,2-Itemset
"Guide to Calculus 1, History of Machine Learning 9",1,2-Itemset
"History of Machine Learning 8, History of Music 3",1,2-Itemset
"Advanced Economics 10, Mastering Biology 6",1,2-Itemset
"Introduction to Philosophy 10, Mastering Economics 7",1,2-Itemset
"Introduction to History 4, Mastering Economics 7",1,2-Itemset
"Handbook of Art 10, Handbook of Chemistry 6",1,2-Itemset
"Advanced Art 1, Handbook of Python 9",1,2-Itemset
"Handbook of Music 9, Handbook of Physics 7",1,2-Itemset
