Itemset,Itemset_Size,Count,Support
Advanced Physics 2 | Mastering Philosophy 4,2,1,0.0007
Handbook of Philosophy 10 | The Art of History 5,2,1,0.0007
Advanced AI 1 | Mastering Art 2,2,1,0.0007
Advanced Calculus 5 | Guide to Economics 5,2,1,0.0007
Advanced Calculus 5 | Handbook of Art 10,2,1,0.0007
Guide to Economics 5 | Handbook of Art 10,2,1,0.0007
Fundamentals of Java 6 | Guide to AI 5,2,1,0.0007
Handbook of Java 9 | Mastering Chemistry 1,2,1,0.0007
Advanced Art 1 | Advanced History 4,2,1,0.0007
Advanced Art 1 | Mastering Java 8,2,1,0.0007
Advanced History 4 | Mastering Java 8,2,1,0.0007
History of Java 1 | History of Machine Learning 6,2,1,0.0007
Fundamentals of AI 5 | Guide to History 9,2,1,0.0007
Fundamentals of Java 1 | Handbook of Biology 9,2,1,0.0007
Fundamentals of Java 1 | History of Biology 2,2,1,0.0007
Handbook of Biology 9 | History of Biology 2,2,1,0.0007
Guide to Art 3 | Mastering Calculus 3,2,1,0.0007
Guide to Art 3 | The Art of Economics 8,2,1,0.0007
Mastering Calculus 3 | The Art of Economics 8,2,1,0.0007
Advanced Music 4 | Mastering Music 1,2,1,0.0007
Advanced Python 1 | The Art of History 1,2,1,0.0007
Guide to Calculus 2 | The Art of Art 10,2,1,0.0007
Guide to Calculus 2 | The Art of Calculus 8,2,1,0.0007
The Art of Art 10 | The Art of Calculus 8,2,1,0.0007
Advanced Economics 5 | Guide to Python 7,2,1,0.0007
Advanced Economics 5 | The Art of Calculus 3,2,1,0.0007
Guide to Python 7 | The Art of Calculus 3,2,1,0.0007
Fundamentals of Java 9 | Mastering Biology 8,2,1,0.0007
Advanced Java 7 | Fundamentals of Calculus 7,2,1,0.0007
Guide to Python 1 | Mastering Machine Learning 10,2,1,0.0007
Guide to Python 1 | The Art of Physics 3,2,1,0.0007
Mastering Machine Learning 10 | The Art of Physics 3,2,1,0.0007
History of History 2 | Introduction to Physics 10,2,1,0.0007
The Art of Economics 3 | The Art of Python 7,2,1,0.0007
Guide to Biology 2 | History of Music 2,2,1,0.0007
Guide to Biology 2 | Mastering Art 10,2,1,0.0007
History of Music 2 | Mastering Art 10,2,1,0.0007
Advanced Java 7 | The Art of Java 4,2,1,0.0007
Guide to Java 8 | History of Machine Learning 6,2,1,0.0007
Guide to Java 8 | Mastering Calculus 6,2,1,0.0007
History of Machine Learning 6 | Mastering Calculus 6,2,1,0.0007
Advanced Python 9 | Guide to AI 5,2,1,0.0007
Advanced Python 9 | Guide to Machine Learning 1,2,1,0.0007
Guide to AI 5 | Guide to Machine Learning 1,2,1,0.0007
Advanced Art 9 | The Art of Python 9,2,1,0.0007
Handbook of Economics 9 | History of Philosophy 8,2,1,0.0007
Advanced Philosophy 9 | Handbook of AI 9,2,1,0.0007
Fundamentals of Chemistry 2 | Fundamentals of Chemistry 4,2,1,0.0007
Fundamentals of Chemistry 2 | Mastering Physics 3,2,1,0.0007
Fundamentals of Chemistry 4 | Mastering Physics 3,2,1,0.0007
History of Machine Learning 10 | Mastering Philosophy 9,2,1,0.0007
History of Music 7 | The Art of Machine Learning 9,2,1,0.0007
Introduction to Java 8 | The Art of Calculus 8,2,1,0.0007
Introduction to Java 8 | The Art of Python 3,2,1,0.0007
The Art of Calculus 8 | The Art of Python 3,2,1,0.0007
History of Music 6 | Mastering Art 10,2,1,0.0007
Advanced Physics 2 | Guide to Music 8,2,1,0.0007
Advanced Physics 2 | History of Calculus 4,2,1,0.0007
Guide to Music 8 | History of Calculus 4,2,1,0.0007
Guide to AI 10 | Handbook of Philosophy 10,2,1,0.0007
Guide to AI 10 | The Art of Economics 3,2,1,0.0007
Handbook of Philosophy 10 | The Art of Economics 3,2,1,0.0007
Advanced Calculus 8 | Guide to Music 4,2,1,0.0007
Advanced Calculus 8 | Mastering Philosophy 1,2,1,0.0007
Guide to Music 4 | Mastering Philosophy 1,2,1,0.0007
History of Economics 4 | Introduction to AI 6,2,1,0.0007
History of Economics 4 | The Art of Java 8,2,1,0.0007
Introduction to AI 6 | The Art of Java 8,2,1,0.0007
Guide to Music 1 | Mastering Economics 10,2,1,0.0007
Guide to Calculus 2 | Handbook of Machine Learning 5,2,1,0.0007
Guide to Calculus 2 | Mastering History 8,2,1,0.0007
Handbook of Machine Learning 5 | Mastering History 8,2,1,0.0007
Guide to Art 10 | Mastering Music 6,2,1,0.0007
Fundamentals of Calculus 10 | History of AI 3,2,1,0.0007
Fundamentals of Calculus 10 | Mastering Music 10,2,1,0.0007
History of AI 3 | Mastering Music 10,2,1,0.0007
Advanced Calculus 6 | History of Chemistry 6,2,1,0.0007
Advanced Calculus 6 | Introduction to Economics 4,2,1,0.0007
History of Chemistry 6 | Introduction to Economics 4,2,1,0.0007
Advanced Philosophy 10 | The Art of Art 2,2,1,0.0007
Advanced Philosophy 10 | The Art of Economics 2,2,1,0.0007
The Art of Art 2 | The Art of Economics 2,2,1,0.0007
Advanced Java 3 | Introduction to AI 10,2,1,0.0007
Advanced Java 3 | The Art of History 1,2,1,0.0007
Advanced Economics 5 | Fundamentals of Economics 6,2,1,0.0007
Fundamentals of Python 8 | Introduction to History 10,2,1,0.0007
Fundamentals of Philosophy 8 | The Art of Music 1,2,1,0.0007
Advanced Philosophy 2 | Mastering History 6,2,1,0.0007
Handbook of Philosophy 2 | Mastering Economics 2,2,1,0.0007
Fundamentals of Java 7 | Fundamentals of Physics 2,2,1,0.0007
Fundamentals of Java 7 | The Art of Python 5,2,1,0.0007
Fundamentals of Physics 2 | The Art of Python 5,2,1,0.0007
Advanced Music 5 | Introduction to Chemistry 5,2,1,0.0007
Advanced Music 5 | The Art of History 1,2,1,0.0007
Introduction to Chemistry 5 | The Art of History 1,2,1,0.0007
Advanced Economics 10 | Mastering Biology 6,2,1,0.0007
Fundamentals of Java 3 | Mastering Java 8,2,1,0.0007
Guide to Biology 10 | Guide to History 9,2,1,0.0007
Advanced History 7 | Introduction to Physics 8,2,1,0.0007
Advanced History 7 | Mastering Economics 10,2,1,0.0007
Introduction to Physics 8 | Mastering Economics 10,2,1,0.0007
Advanced Java 3 | Handbook of Physics 8,2,1,0.0007
Advanced Java 3 | The Art of History 5,2,1,0.0007
Handbook of Physics 8 | The Art of History 5,2,1,0.0007
Fundamentals of Machine Learning 5 | History of Philosophy 9,2,1,0.0007
Advanced AI 6 | Mastering Java 4,2,1,0.0007
Advanced AI 6 | The Art of Chemistry 1,2,1,0.0007
Mastering Java 4 | The Art of Chemistry 1,2,1,0.0007
Advanced Physics 2 | History of Physics 7,2,1,0.0007
Guide to Machine Learning 6 | Handbook of Calculus 4,2,1,0.0007
Guide to Machine Learning 6 | Mastering History 6,2,1,0.0007
Handbook of Calculus 4 | Mastering History 6,2,1,0.0007
History of History 3 | History of Machine Learning 8,2,1,0.0007
History of History 3 | History of Music 3,2,1,0.0007
History of Machine Learning 8 | History of Music 3,2,1,0.0007
Fundamentals of Physics 9 | Mastering Calculus 7,2,1,0.0007
Fundamentals of Art 10 | The Art of Art 5,2,1,0.0007
Guide to Calculus 9 | Introduction to Chemistry 5,2,1,0.0007
Fundamentals of Python 4 | Guide to Python 6,2,1,0.0007
Fundamentals of Python 4 | History of Music 10,2,1,0.0007
Guide to Python 6 | History of Music 10,2,1,0.0007
Advanced Philosophy 1 | Guide to Art 5,2,1,0.0007
Guide to History 7 | History of Chemistry 4,2,1,0.0007
Advanced Chemistry 10 | Introduction to Music 3,2,1,0.0007
Advanced Chemistry 10 | The Art of History 1,2,1,0.0007
Introduction to Music 3 | The Art of History 1,2,1,0.0007
Introduction to Java 2 | The Art of Economics 8,2,1,0.0007
Advanced History 4 | Fundamentals of Calculus 7,2,1,0.0007
Advanced History 4 | History of Chemistry 2,2,1,0.0007
Fundamentals of Calculus 7 | History of Chemistry 2,2,1,0.0007
Introduction to Economics 3 | Mastering Economics 7,2,1,0.0007
Introduction to History 7 | Mastering Economics 2,2,1,0.0007
Guide to Python 1 | Mastering Music 7,2,1,0.0007
Handbook of Biology 7 | History of Philosophy 10,2,1,0.0007
Fundamentals of AI 5 | Handbook of Java 1,2,1,0.0007
Fundamentals of AI 5 | The Art of Philosophy 1,2,1,0.0007
Handbook of Java 1 | The Art of Philosophy 1,2,1,0.0007
Mastering AI 9 | The Art of Biology 7,2,1,0.0007
Mastering AI 9 | The Art of Chemistry 2,2,1,0.0007
The Art of Biology 7 | The Art of Chemistry 2,2,1,0.0007
Fundamentals of Music 1 | Handbook of Java 6,2,1,0.0007
Fundamentals of Music 1 | Handbook of Philosophy 10,2,1,0.0007
Handbook of Java 6 | Handbook of Philosophy 10,2,1,0.0007
Advanced Calculus 6 | Introduction to Physics 3,2,1,0.0007
Advanced Calculus 6 | The Art of History 6,2,1,0.0007
Advanced Music 8 | Fundamentals of Chemistry 6,2,1,0.0007
Advanced Music 8 | Fundamentals of Physics 5,2,1,0.0007
Fundamentals of Chemistry 6 | Fundamentals of Physics 5,2,1,0.0007
Guide to Art 10 | Handbook of AI 9,2,1,0.0007
Guide to Art 10 | Handbook of Machine Learning 9,2,1,0.0007
Handbook of AI 9 | Handbook of Machine Learning 9,2,1,0.0007
Advanced Python 7 | History of History 10,2,1,0.0007
Advanced Python 7 | Mastering History 2,2,1,0.0007
History of History 10 | Mastering History 2,2,1,0.0007
Mastering Biology 8 | Mastering Music 1,2,1,0.0007
Guide to Art 2 | Introduction to Python 5,2,1,0.0007
Fundamentals of Chemistry 7 | Introduction to Philosophy 1,2,1,0.0007
Fundamentals of Chemistry 7 | The Art of Philosophy 5,2,1,0.0007
Introduction to Philosophy 1 | The Art of Philosophy 5,2,1,0.0007
Advanced AI 1 | Handbook of Machine Learning 3,2,1,0.0007
Advanced AI 1 | Introduction to History 1,2,1,0.0007
Handbook of Machine Learning 3 | Introduction to History 1,2,1,0.0007
Guide to AI 6 | Introduction to Biology 6,2,1,0.0007
Guide to AI 6 | The Art of Python 8,2,1,0.0007
Introduction to Biology 6 | The Art of Python 8,2,1,0.0007
Advanced Calculus 7 | Guide to Philosophy 9,2,1,0.0007
Advanced Calculus 7 | Introduction to AI 3,2,1,0.0007
Guide to Philosophy 9 | Introduction to AI 3,2,1,0.0007
Handbook of History 9 | Mastering Art 4,2,1,0.0007
Handbook of Calculus 8 | The Art of Python 8,2,1,0.0007
Advanced Chemistry 10 | Advanced Music 1,2,1,0.0007
Advanced Chemistry 10 | History of Chemistry 10,2,1,0.0007
Advanced Music 1 | History of Chemistry 10,2,1,0.0007
Guide to Calculus 1 | History of Machine Learning 9,2,1,0.0007
Guide to Calculus 1 | Mastering Chemistry 9,2,1,0.0007
History of Machine Learning 9 | Mastering Chemistry 9,2,1,0.0007
History of AI 9 | History of Calculus 4,2,1,0.0007
History of AI 9 | Introduction to Java 10,2,1,0.0007
History of Calculus 4 | Introduction to Java 10,2,1,0.0007
Guide to Physics 1 | The Art of Biology 9,2,1,0.0007
Fundamentals of Calculus 10 | History of History 7,2,1,0.0007
Fundamentals of Calculus 10 | The Art of Art 3,2,1,0.0007
History of History 7 | The Art of Art 3,2,1,0.0007
History of Machine Learning 9 | History of Music 9,2,1,0.0007
History of Machine Learning 9 | Introduction to Physics 5,2,1,0.0007
History of Music 9 | Introduction to Physics 5,2,1,0.0007
History of Biology 9 | History of Economics 1,2,1,0.0007
History of Biology 9 | Introduction to Art 1,2,1,0.0007
History of Economics 1 | Introduction to Art 1,2,1,0.0007
Handbook of Calculus 3 | Introduction to Chemistry 9,2,1,0.0007
History of AI 7 | History of Calculus 3,2,1,0.0007
History of AI 7 | Introduction to Python 6,2,1,0.0007
History of Calculus 3 | Introduction to Python 6,2,1,0.0007
Fundamentals of Physics 3 | Guide to Chemistry 2,2,1,0.0007
Fundamentals of Physics 3 | Introduction to Art 4,2,1,0.0007
Guide to Chemistry 2 | Introduction to Art 4,2,1,0.0007
Fundamentals of Chemistry 8 | Guide to Biology 7,2,1,0.0007
Fundamentals of Chemistry 8 | Handbook of Chemistry 6,2,1,0.0007
Guide to Biology 7 | Handbook of Chemistry 6,2,1,0.0007
Guide to Art 2 | History of Economics 5,2,1,0.0007
Guide to Art 2 | The Art of Calculus 3,2,1,0.0007
History of Economics 5 | The Art of Calculus 3,2,1,0.0007
Advanced History 7 | Guide to Calculus 6,2,1,0.0007
Advanced History 7 | History of Machine Learning 2,2,1,0.0007
Guide to Calculus 6 | History of Machine Learning 2,2,1,0.0007
History of Python 10 | Introduction to Music 2,2,1,0.0007
Advanced Calculus 1 | Guide to Music 8,2,1,0.0007
Advanced Calculus 1 | Introduction to Art 6,2,1,0.0007
Guide to Music 8 | Introduction to Art 6,2,1,0.0007
Handbook of Chemistry 5 | The Art of Java 3,2,1,0.0007
Advanced Economics 7 | Fundamentals of Java 10,2,1,0.0007
Advanced Economics 7 | Fundamentals of Python 10,2,1,0.0007
Fundamentals of Java 10 | Fundamentals of Python 10,2,1,0.0007
The Art of Economics 2 | The Art of Economics 8,2,1,0.0007
Advanced History 3 | Advanced Physics 2,2,1,0.0007
Advanced History 3 | Mastering Java 6,2,1,0.0007
Advanced Physics 2 | Mastering Java 6,2,1,0.0007
History of Art 3 | Introduction to Machine Learning 2,2,1,0.0007
History of Art 3 | The Art of Art 10,2,1,0.0007
Introduction to Machine Learning 2 | The Art of Art 10,2,1,0.0007
The Art of Art 8 | The Art of Java 2,2,1,0.0007
The Art of Art 8 | The Art of Python 7,2,1,0.0007
The Art of Java 2 | The Art of Python 7,2,1,0.0007
History of Python 10 | The Art of History 8,2,1,0.0007
Advanced Java 8 | History of Physics 6,2,1,0.0007
Advanced History 4 | Fundamentals of Biology 4,2,1,0.0007
Fundamentals of Chemistry 9 | Mastering Biology 7,2,1,0.0007
Advanced Java 5 | Fundamentals of Chemistry 4,2,1,0.0007
Guide to Chemistry 2 | History of Calculus 8,2,1,0.0007
Guide to Chemistry 2 | History of Music 9,2,1,0.0007
History of Calculus 8 | History of Music 9,2,1,0.0007
Guide to Calculus 3 | History of Chemistry 5,2,1,0.0007
Guide to Calculus 3 | The Art of Physics 7,2,1,0.0007
History of Chemistry 5 | The Art of Physics 7,2,1,0.0007
Fundamentals of Java 3 | Introduction to Physics 3,2,1,0.0007
Mastering Music 1 | The Art of Calculus 1,2,1,0.0007
Fundamentals of Music 3 | The Art of Java 7,2,1,0.0007
Handbook of Chemistry 5 | Mastering Music 8,2,1,0.0007
Advanced Java 3 | Fundamentals of AI 9,2,1,0.0007
Advanced Java 3 | Guide to Music 2,2,1,0.0007
Fundamentals of AI 9 | Guide to Music 2,2,1,0.0007
History of Philosophy 3 | Introduction to Machine Learning 7,2,1,0.0007
History of Philosophy 3 | Mastering Python 6,2,1,0.0007
Introduction to Machine Learning 7 | Mastering Python 6,2,1,0.0007
Fundamentals of Chemistry 6 | Introduction to Music 3,2,1,0.0007
Fundamentals of Chemistry 6 | The Art of History 4,2,1,0.0007
Introduction to Music 3 | The Art of History 4,2,1,0.0007
The Art of Calculus 8 | The Art of Physics 5,2,1,0.0007
History of Biology 6 | History of History 2,2,1,0.0007
History of Biology 6 | The Art of Biology 6,2,1,0.0007
History of History 2 | The Art of Biology 6,2,1,0.0007
Fundamentals of Philosophy 2 | The Art of Biology 1,2,1,0.0007
Fundamentals of Philosophy 2 | The Art of Economics 9,2,1,0.0007
Fundamentals of Java 1 | Guide to AI 3,2,1,0.0007
Handbook of Physics 8 | Mastering AI 7,2,1,0.0007
History of Economics 4 | Mastering Biology 8,2,1,0.0007
Advanced Calculus 7 | Introduction to History 9,2,1,0.0007
Introduction to History 9 | Mastering Biology 8,2,1,0.0007
Guide to Art 1 | Introduction to Art 2,2,1,0.0007
Guide to Art 1 | Mastering Chemistry 9,2,1,0.0007
Introduction to Art 2 | Mastering Chemistry 9,2,1,0.0007
Fundamentals of Java 7 | Mastering AI 6,2,1,0.0007
Fundamentals of Java 3 | Introduction to Physics 8,2,1,0.0007
History of Machine Learning 1 | History of Machine Learning 9,2,1,0.0007
History of Machine Learning 1 | Introduction to AI 3,2,1,0.0007
History of Machine Learning 9 | Introduction to AI 3,2,1,0.0007
Advanced Java 7 | Introduction to History 7,2,1,0.0007
Advanced Biology 9 | Fundamentals of Chemistry 4,2,1,0.0007
Guide to History 9 | Introduction to Chemistry 9,2,1,0.0007
Guide to History 9 | The Art of Philosophy 9,2,1,0.0007
Introduction to Chemistry 9 | The Art of Philosophy 9,2,1,0.0007
Handbook of Python 6 | The Art of Physics 2,2,1,0.0007
Advanced Calculus 5 | Mastering History 2,2,1,0.0007
Advanced Economics 5 | Fundamentals of Chemistry 8,2,1,0.0007
Advanced Economics 5 | Mastering Biology 8,2,1,0.0007
Fundamentals of Chemistry 8 | Mastering Biology 8,2,1,0.0007
Fundamentals of Java 8 | History of Philosophy 8,2,1,0.0007
Fundamentals of Java 7 | Guide to Calculus 10,2,1,0.0007
Introduction to Java 2 | Mastering Economics 9,2,1,0.0007
Mastering AI 9 | Mastering Java 10,2,1,0.0007
Mastering AI 9 | The Art of History 10,2,1,0.0007
Mastering Java 10 | The Art of History 10,2,1,0.0007
Fundamentals of Calculus 4 | Handbook of Calculus 3,2,1,0.0007
Fundamentals of Calculus 4 | Mastering Calculus 1,2,1,0.0007
Handbook of Calculus 3 | Mastering Calculus 1,2,1,0.0007
Handbook of Biology 9 | Introduction to Machine Learning 10,2,1,0.0007
Handbook of Biology 9 | The Art of History 9,2,1,0.0007
Introduction to Machine Learning 10 | The Art of History 9,2,1,0.0007
Fundamentals of Java 10 | Handbook of Java 8,2,1,0.0007
Fundamentals of Java 10 | Mastering Philosophy 9,2,1,0.0007
Handbook of Java 8 | Mastering Philosophy 9,2,1,0.0007
Fundamentals of Python 3 | Introduction to Calculus 2,2,1,0.0007
Mastering Physics 4 | The Art of Art 9,2,1,0.0007
Mastering Physics 4 | The Art of History 5,2,1,0.0007
The Art of Art 9 | The Art of History 5,2,1,0.0007
Introduction to Physics 1 | The Art of Machine Learning 9,2,1,0.0007
Advanced AI 2 | Introduction to Chemistry 5,2,1,0.0007
Advanced AI 2 | Mastering AI 6,2,1,0.0007
Introduction to Chemistry 5 | Mastering AI 6,2,1,0.0007
Fundamentals of Chemistry 10 | Guide to Biology 7,2,1,0.0007
Advanced History 7 | Handbook of Economics 9,2,1,0.0007
Advanced History 7 | Introduction to Art 6,2,1,0.0007
Handbook of Economics 9 | Introduction to Art 6,2,1,0.0007
Fundamentals of Machine Learning 9 | Mastering Chemistry 6,2,1,0.0007
Fundamentals of Python 7 | Handbook of Chemistry 6,2,1,0.0007
Fundamentals of Python 7 | History of Economics 1,2,1,0.0007
Handbook of Chemistry 6 | History of Economics 1,2,1,0.0007
Handbook of Philosophy 5 | The Art of Physics 1,2,1,0.0007
Guide to Python 10 | Introduction to Economics 4,2,1,0.0007
Introduction to Economics 3 | Mastering Biology 8,2,1,0.0007
Advanced Calculus 5 | Fundamentals of Chemistry 9,2,1,0.0007
Advanced Machine Learning 1 | Advanced Music 2,2,1,0.0007
History of History 7 | Introduction to Philosophy 9,2,1,0.0007
Guide to Biology 3 | History of Java 1,2,1,0.0007
Advanced Economics 9 | The Art of Java 7,2,1,0.0007
History of Java 3 | Mastering AI 6,2,1,0.0007
Fundamentals of Music 4 | The Art of History 10,2,1,0.0007
Guide to AI 3 | Handbook of Art 6,2,1,0.0007
Fundamentals of Chemistry 9 | Handbook of Chemistry 5,2,1,0.0007
Fundamentals of Chemistry 9 | The Art of History 4,2,1,0.0007
Handbook of Chemistry 5 | The Art of History 4,2,1,0.0007
Fundamentals of Physics 9 | Guide to Calculus 1,2,1,0.0007
Fundamentals of Physics 9 | Handbook of Art 5,2,1,0.0007
Guide to Calculus 1 | Handbook of Art 5,2,1,0.0007
Guide to Art 3 | Handbook of Economics 2,2,1,0.0007
Guide to Art 3 | Introduction to Python 6,2,1,0.0007
Handbook of Economics 2 | Introduction to Python 6,2,1,0.0007
Handbook of Economics 3 | The Art of Music 3,2,1,0.0007
Advanced Art 8 | Advanced Philosophy 2,2,1,0.0007
Advanced Art 8 | Guide to Philosophy 3,2,1,0.0007
Advanced Philosophy 2 | Guide to Philosophy 3,2,1,0.0007
The Art of History 3 | The Art of History 9,2,1,0.0007
Fundamentals of Java 3 | History of Economics 3,2,1,0.0007
Fundamentals of Java 3 | History of Philosophy 3,2,1,0.0007
History of Economics 3 | History of Philosophy 3,2,1,0.0007
Guide to Music 9 | History of Art 2,2,1,0.0007
Guide to AI 5 | Guide to Physics 4,2,1,0.0007
Guide to AI 5 | The Art of Philosophy 4,2,1,0.0007
Guide to Physics 4 | The Art of Philosophy 4,2,1,0.0007
Fundamentals of Java 9 | Handbook of Biology 7,2,1,0.0007
Fundamentals of Java 9 | The Art of Economics 8,2,1,0.0007
Handbook of Biology 7 | The Art of Economics 8,2,1,0.0007
Fundamentals of Java 3 | Guide to AI 6,2,1,0.0007
Fundamentals of Java 3 | Mastering Machine Learning 3,2,1,0.0007
Guide to AI 6 | Mastering Machine Learning 3,2,1,0.0007
Guide to Philosophy 2 | Handbook of Machine Learning 9,2,1,0.0007
Guide to Philosophy 2 | Introduction to Art 6,2,1,0.0007
Handbook of History 6 | Mastering Calculus 8,2,1,0.0007
History of AI 9 | Mastering Economics 10,2,1,0.0007
History of AI 9 | The Art of Art 10,2,1,0.0007
Mastering Economics 10 | The Art of Art 10,2,1,0.0007
Advanced Python 10 | Introduction to Biology 4,2,1,0.0007
Mastering Java 10 | The Art of History 5,2,1,0.0007
Mastering Java 10 | The Art of Music 1,2,1,0.0007
The Art of History 5 | The Art of Music 1,2,1,0.0007
Fundamentals of Machine Learning 5 | Guide to Python 1,2,1,0.0007
Fundamentals of Python 10 | Introduction to Python 7,2,1,0.0007
History of Calculus 8 | Introduction to History 9,2,1,0.0007
History of Calculus 8 | Mastering Economics 10,2,1,0.0007
Introduction to History 9 | Mastering Economics 10,2,1,0.0007
Handbook of Machine Learning 5 | History of History 10,2,1,0.0007
Handbook of Machine Learning 5 | Introduction to Economics 3,2,1,0.0007
History of History 10 | Introduction to Economics 3,2,1,0.0007
Advanced Java 8 | Guide to AI 6,2,1,0.0007
Advanced Java 8 | Guide to Music 2,2,1,0.0007
Guide to AI 6 | Guide to Music 2,2,1,0.0007
Handbook of Calculus 8 | Introduction to Physics 10,2,1,0.0007
Handbook of Calculus 8 | Mastering Physics 1,2,1,0.0007
Introduction to Physics 10 | Mastering Physics 1,2,1,0.0007
Advanced Calculus 1 | Advanced Philosophy 2,2,1,0.0007
Advanced Calculus 1 | Guide to Music 4,2,1,0.0007
Advanced Philosophy 2 | Guide to Music 4,2,1,0.0007
Introduction to AI 4 | Introduction to Java 5,2,1,0.0007
Fundamentals of Chemistry 4 | Introduction to Music 4,2,1,0.0007
Introduction to Art 6 | The Art of Physics 5,2,1,0.0007
Handbook of Machine Learning 7 | History of Chemistry 10,2,1,0.0007
Handbook of Java 2 | History of Philosophy 9,2,1,0.0007
Advanced Music 4 | Guide to Python 10,2,1,0.0007
Advanced Music 4 | Mastering Physics 1,2,1,0.0007
Guide to Python 10 | Mastering Physics 1,2,1,0.0007
Fundamentals of Java 6 | Handbook of Java 9,2,1,0.0007
Fundamentals of Physics 5 | Handbook of Chemistry 5,2,1,0.0007
Fundamentals of Physics 5 | History of History 2,2,1,0.0007
Handbook of Chemistry 5 | History of History 2,2,1,0.0007
History of Java 9 | The Art of Machine Learning 9,2,1,0.0007
History of Physics 3 | Introduction to Music 4,2,1,0.0007
Advanced Chemistry 5 | Advanced History 5,2,1,0.0007
Guide to History 8 | Introduction to Philosophy 10,2,1,0.0007
Advanced History 5 | History of AI 7,2,1,0.0007
Advanced History 5 | The Art of Physics 7,2,1,0.0007
History of AI 7 | The Art of Physics 7,2,1,0.0007
Advanced Chemistry 9 | Introduction to Biology 6,2,1,0.0007
Advanced Chemistry 9 | Mastering Biology 6,2,1,0.0007
Introduction to Biology 6 | Mastering Biology 6,2,1,0.0007
Advanced Music 8 | Fundamentals of Java 9,2,1,0.0007
Handbook of Java 1 | History of History 7,2,1,0.0007
History of Art 8 | Mastering Python 6,2,1,0.0007
Advanced Java 1 | The Art of Biology 6,2,1,0.0007
History of Python 9 | The Art of Economics 7,2,1,0.0007
Guide to Philosophy 2 | Introduction to Physics 3,2,1,0.0007
History of History 4 | Introduction to Machine Learning 7,2,1,0.0007
History of History 4 | Mastering Philosophy 2,2,1,0.0007
Introduction to Machine Learning 7 | Mastering Philosophy 2,2,1,0.0007
Advanced Java 2 | Advanced Python 8,2,1,0.0007
Advanced Calculus 9 | Advanced Economics 3,2,1,0.0007
Advanced Calculus 9 | Mastering Physics 3,2,1,0.0007
Advanced Economics 3 | Mastering Physics 3,2,1,0.0007
Fundamentals of Machine Learning 3 | Guide to Python 4,2,1,0.0007
Fundamentals of Machine Learning 3 | Handbook of Art 1,2,1,0.0007
Guide to Python 4 | Handbook of Art 1,2,1,0.0007
Advanced Java 7 | Advanced Machine Learning 1,2,1,0.0007
Advanced Java 7 | The Art of Philosophy 1,2,1,0.0007
Advanced Machine Learning 1 | The Art of Philosophy 1,2,1,0.0007
Guide to Art 5 | The Art of AI 9,2,1,0.0007
Fundamentals of Art 10 | History of History 2,2,1,0.0007
Fundamentals of Art 10 | Introduction to Java 5,2,1,0.0007
History of History 2 | Introduction to Java 5,2,1,0.0007
Advanced Java 7 | Handbook of Machine Learning 7,2,1,0.0007
Advanced Java 7 | The Art of AI 9,2,1,0.0007
Handbook of Machine Learning 7 | The Art of AI 9,2,1,0.0007
Guide to Economics 1 | Introduction to Economics 7,2,1,0.0007
The Art of Economics 3 | The Art of History 6,2,1,0.0007
Advanced Physics 8 | Fundamentals of Java 1,2,1,0.0007
Advanced Physics 8 | Handbook of Economics 2,2,1,0.0007
Fundamentals of Java 1 | Handbook of Economics 2,2,1,0.0007
Handbook of Physics 10 | Introduction to Chemistry 5,2,1,0.0007
Handbook of Physics 10 | Introduction to Philosophy 1,2,1,0.0007
Introduction to Chemistry 5 | Introduction to Philosophy 1,2,1,0.0007
Mastering Python 4 | The Art of History 10,2,1,0.0007
Advanced Python 1 | Handbook of History 9,2,1,0.0007
Fundamentals of Java 10 | History of Machine Learning 4,2,1,0.0007
Handbook of AI 10 | History of Music 2,2,1,0.0007
Handbook of AI 10 | The Art of History 7,2,1,0.0007
History of Music 2 | The Art of History 7,2,1,0.0007
Handbook of Music 8 | History of Calculus 5,2,1,0.0007
Handbook of Music 8 | Mastering History 6,2,1,0.0007
History of Calculus 5 | Mastering History 6,2,1,0.0007
Guide to Art 3 | Handbook of Economics 9,2,1,0.0007
Guide to Art 3 | Mastering History 8,2,1,0.0007
Handbook of Economics 9 | Mastering History 8,2,1,0.0007
Guide to AI 9 | Handbook of Biology 5,2,1,0.0007
Guide to AI 9 | Introduction to Python 6,2,1,0.0007
Handbook of Biology 5 | Introduction to Python 6,2,1,0.0007
Advanced Python 10 | History of Calculus 3,2,1,0.0007
Advanced Python 10 | Mastering Calculus 1,2,1,0.0007
History of Calculus 3 | Mastering Calculus 1,2,1,0.0007
Advanced Java 1 | Guide to Biology 7,2,1,0.0007
Handbook of Philosophy 10 | History of Philosophy 9,2,1,0.0007
Handbook of Philosophy 10 | Introduction to Physics 3,2,1,0.0007
History of Philosophy 9 | Introduction to Physics 3,2,1,0.0007
Guide to AI 3 | Mastering Python 6,2,1,0.0007
Advanced Biology 5 | Handbook of Biology 7,2,1,0.0007
Advanced Biology 5 | Introduction to History 8,2,1,0.0007
Handbook of Biology 7 | Introduction to History 8,2,1,0.0007
Fundamentals of Art 3 | Fundamentals of Art 7,2,1,0.0007
Advanced Calculus 7 | Mastering Biology 4,2,1,0.0007
Mastering Art 8 | The Art of Art 10,2,1,0.0007
History of Physics 1 | Mastering History 3,2,1,0.0007
